effect_bonus_value_unit_ability_junctions_tables	0
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_searing_doom_upgraded	enable_overchage	wh_main_spell_metal_searing_doom
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_searing_doom_upgraded	enable	wh_main_spell_metal_searing_doom
wh2_main_hef_teclis_wh2_main_effect_magic_metal_miscast_reduction_searing_doom_upgraded	miscast_percentage_mod	wh_main_spell_metal_searing_doom_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_metal_reduce_wom_cost_searing_doom	cost_mod	wh_main_spell_metal_searing_doom
wh2_main_hef_teclis_wh2_main_effect_magic_metal_reduce_wom_cost_searing_doom_upgraded	cost_mod	wh_main_spell_metal_searing_doom_upgraded
wh2_main_hef_teclis_wh_main_effect_magic_metal_cooldown_searing_doom	recharge_mod	wh_main_spell_metal_searing_doom
wh2_main_hef_teclis_wh_main_effect_magic_metal_enable_plague_of_rust	enable	wh_main_spell_metal_plague_of_rust
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_plague_of_rust_upgraded	enable_overchage	wh_main_spell_metal_plague_of_rust
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_plague_of_rust_upgraded	enable	wh_main_spell_metal_plague_of_rust
wh2_main_hef_teclis_wh_main_effect_magic_metal_cooldown_plague_of_rust	recharge_mod	wh_main_spell_metal_plague_of_rust
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_plague_of_rust_upgraded	enable_overchage	wh_main_spell_metal_plague_of_rust
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_plague_of_rust_upgraded	enable	wh_main_spell_metal_plague_of_rust
wh2_main_hef_teclis_wh2_main_effect_magic_metal_miscast_reduction_plague_of_rust_upgraded	miscast_percentage_mod	wh_main_spell_metal_plague_of_rust_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_metal_reduce_wom_cost_plague_of_rust	cost_mod	wh_main_spell_metal_plague_of_rust
wh2_main_hef_teclis_wh2_main_effect_magic_metal_reduce_wom_cost_plague_of_rust_upgraded	cost_mod	wh_main_spell_metal_plague_of_rust_upgraded
wh2_main_hef_teclis_wh_main_effect_magic_metal_cooldown_plague_of_rust	recharge_mod	wh_main_spell_metal_plague_of_rust
wh2_main_hef_teclis_wh_main_effect_magic_metal_enable_glittering_robe	enable	wh_main_spell_metal_glittering_robe
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_glittering_robe_upgraded	enable_overchage	wh_main_spell_metal_glittering_robe
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_glittering_robe_upgraded	enable	wh_main_spell_metal_glittering_robe
wh2_main_hef_teclis_wh_main_effect_magic_metal_cooldown_glittering_robe	recharge_mod	wh_main_spell_metal_glittering_robe
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_glittering_robe_upgraded	enable_overchage	wh_main_spell_metal_glittering_robe
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_glittering_robe_upgraded	enable	wh_main_spell_metal_glittering_robe
wh2_main_hef_teclis_wh2_main_effect_magic_metal_miscast_reduction_glittering_robe_upgraded	miscast_percentage_mod	wh_main_spell_metal_glittering_robe_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_metal_reduce_wom_cost_glittering_robe	cost_mod	wh_main_spell_metal_glittering_robe
wh2_main_hef_teclis_wh2_main_effect_magic_metal_reduce_wom_cost_glittering_robe_upgraded	cost_mod	wh_main_spell_metal_glittering_robe_upgraded
wh2_main_hef_teclis_wh_main_effect_magic_metal_cooldown_glittering_robe	recharge_mod	wh_main_spell_metal_glittering_robe
wh2_main_hef_teclis_wh_main_effect_magic_metal_enable_gehennas_golden_hounds	enable	wh_main_spell_metal_gehennas_golden_hounds
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_gehennas_golden_hounds_upgraded	enable_overchage	wh_main_spell_metal_gehennas_golden_hounds
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_gehennas_golden_hounds_upgraded	enable	wh_main_spell_metal_gehennas_golden_hounds
wh2_main_hef_teclis_wh_main_effect_magic_metal_cooldown_gehennas_golden_hounds	recharge_mod	wh_main_spell_metal_gehennas_golden_hounds
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_gehennas_golden_hounds_upgraded	enable_overchage	wh_main_spell_metal_gehennas_golden_hounds
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_gehennas_golden_hounds_upgraded	enable	wh_main_spell_metal_gehennas_golden_hounds
wh2_main_hef_teclis_wh2_main_effect_magic_metal_miscast_reduction_gehennas_golden_hounds_upgraded	miscast_percentage_mod	wh_main_spell_metal_gehennas_golden_hounds_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_metal_reduce_wom_cost_gehennas_golden_hounds	cost_mod	wh_main_spell_metal_gehennas_golden_hounds
wh2_main_hef_teclis_wh2_main_effect_magic_metal_reduce_wom_cost_gehennas_golden_hounds_upgraded	cost_mod	wh_main_spell_metal_gehennas_golden_hounds_upgraded
wh2_main_hef_teclis_wh_main_effect_magic_metal_cooldown_gehennas_golden_hounds	recharge_mod	wh_main_spell_metal_gehennas_golden_hounds
wh2_main_hef_teclis_wh_main_effect_magic_metal_enable_transmutation_of_lead	enable	wh_main_spell_metal_transmutation_of_lead
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_transmutation_of_lead_upgraded	enable_overchage	wh_main_spell_metal_transmutation_of_lead
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_transmutation_of_lead_upgraded	enable	wh_main_spell_metal_transmutation_of_lead
wh2_main_hef_teclis_wh_main_effect_magic_metal_cooldown_transmutation_of_lead	recharge_mod	wh_main_spell_metal_transmutation_of_lead
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_transmutation_of_lead_upgraded	enable_overchage	wh_main_spell_metal_transmutation_of_lead
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_transmutation_of_lead_upgraded	enable	wh_main_spell_metal_transmutation_of_lead
wh2_main_hef_teclis_wh2_main_effect_magic_metal_miscast_reduction_transmutation_of_lead_upgraded	miscast_percentage_mod	wh_main_spell_metal_transmutation_of_lead_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_metal_reduce_wom_cost_transmutation_of_lead	cost_mod	wh_main_spell_metal_transmutation_of_lead
wh2_main_hef_teclis_wh2_main_effect_magic_metal_reduce_wom_cost_transmutation_of_lead_upgraded	cost_mod	wh_main_spell_metal_transmutation_of_lead_upgraded
wh2_main_hef_teclis_wh_main_effect_magic_metal_cooldown_transmutation_of_lead	recharge_mod	wh_main_spell_metal_transmutation_of_lead
wh2_main_hef_teclis_wh_main_effect_magic_metal_enable_final_transmutation	enable	wh_main_spell_metal_final_transmutation
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_final_transmutation_upgraded	enable_overchage	wh_main_spell_metal_final_transmutation
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_final_transmutation_upgraded	enable	wh_main_spell_metal_final_transmutation
wh2_main_hef_teclis_wh_main_effect_magic_metal_cooldown_final_transmutation	recharge_mod	wh_main_spell_metal_final_transmutation
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_final_transmutation_upgraded	enable_overchage	wh_main_spell_metal_final_transmutation
wh2_main_hef_teclis_wh2_main_effect_magic_metal_enable_final_transmutation_upgraded	enable	wh_main_spell_metal_final_transmutation
wh2_main_hef_teclis_wh2_main_effect_magic_metal_miscast_reduction_final_transmutation_upgraded	miscast_percentage_mod	wh_main_spell_metal_final_transmutation_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_metal_reduce_wom_cost_final_transmutation	cost_mod	wh_main_spell_metal_final_transmutation
wh2_main_hef_teclis_wh2_main_effect_magic_metal_reduce_wom_cost_final_transmutation_upgraded	cost_mod	wh_main_spell_metal_final_transmutation_upgraded
wh2_main_hef_teclis_wh_main_effect_magic_metal_cooldown_final_transmutation	recharge_mod	wh_main_spell_metal_final_transmutation
wh2_main_hef_teclis_wh_dlc05_effect_magic_ability_enable_smoke_and_mirrors	enable	wh_dlc05_lore_passive_smoke_and_mirrors
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_melkoths_mystifying_miasma_upgraded	enable_overchage	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_melkoths_mystifying_miasma_upgraded	enable	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_cooldown_melkoths_mystifying_miasma	recharge_mod	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_melkoths_mystifying_miasma_upgraded	enable_overchage	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_melkoths_mystifying_miasma_upgraded	enable	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_miscast_reduction_melkoths_mystifying_miasma_upgraded	miscast_percentage_mod	wh_dlc05_spell_shadow_melkoths_mystifying_miasma_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_reduce_wom_cost_melkoths_mystifying_miasma	cost_mod	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_reduce_wom_cost_melkoths_mystifying_miasma_upgraded	cost_mod	wh_dlc05_spell_shadow_melkoths_mystifying_miasma_upgraded
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_cooldown_melkoths_mystifying_miasma	recharge_mod	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_enfeebling_foe	enable	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_melkoths_enfeebling_foe_upgraded	enable_overchage	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_melkoths_enfeebling_foe_upgraded	enable	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_cooldown_enfeebling_foe	recharge_mod	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_melkoths_enfeebling_foe_upgraded	enable_overchage	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_melkoths_enfeebling_foe_upgraded	enable	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_miscast_reduction_melkoths_enfeebling_foe_upgraded	miscast_percentage_mod	wh_dlc05_spell_shadow_the_enfeebling_foe_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_reduce_wom_cost_melkoths_enfeebling_foe	cost_mod	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_reduce_wom_cost_melkoths_enfeebling_foe_upgraded	cost_mod	wh_dlc05_spell_shadow_the_enfeebling_foe_upgraded
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_cooldown_enfeebling_foe	recharge_mod	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_the_withering	enable	wh_dlc05_spell_shadow_the_withering
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_the_withering_upgraded	enable_overchage	wh_dlc05_spell_shadow_the_withering
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_the_withering_upgraded	enable	wh_dlc05_spell_shadow_the_withering
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_cooldown_the_withering	recharge_mod	wh_dlc05_spell_shadow_the_withering
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_the_withering_upgraded	enable_overchage	wh_dlc05_spell_shadow_the_withering
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_the_withering_upgraded	enable	wh_dlc05_spell_shadow_the_withering
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_miscast_reduction_the_withering_upgraded	miscast_percentage_mod	wh_dlc05_spell_shadow_the_withering_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_reduce_wom_cost_the_withering	cost_mod	wh_dlc05_spell_shadow_the_withering
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_reduce_wom_cost_the_withering_upgraded	cost_mod	wh_dlc05_spell_shadow_the_withering_upgraded
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_cooldown_the_withering	recharge_mod	wh_dlc05_spell_shadow_the_withering
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_penumbral_pendulum	enable	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_penumbral_pendulum_upgraded	enable_overchage	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_penumbral_pendulum_upgraded	enable	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_cooldown_penumbral_pendulum	recharge_mod	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_penumbral_pendulum_upgraded	enable_overchage	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_penumbral_pendulum_upgraded	enable	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_miscast_reduction_penumbral_pendulum_upgraded	miscast_percentage_mod	wh_dlc05_spell_shadow_the_penumbral_pendulum_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_reduce_wom_cost_penumbral_pendulum	cost_mod	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_reduce_wom_cost_penumbral_pendulum_upgraded	cost_mod	wh_dlc05_spell_shadow_the_penumbral_pendulum_upgraded
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_cooldown_penumbral_pendulum	recharge_mod	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_pit_of_shades	enable	wh_dlc05_spell_shadow_pit_of_shades
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_pit_of_shades_upgraded	enable_overchage	wh_dlc05_spell_shadow_pit_of_shades
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_pit_of_shades_upgraded	enable	wh_dlc05_spell_shadow_pit_of_shades
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_cooldown_pit_of_shades	recharge_mod	wh_dlc05_spell_shadow_pit_of_shades
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_pit_of_shades_upgraded	enable_overchage	wh_dlc05_spell_shadow_pit_of_shades
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_pit_of_shades_upgraded	enable	wh_dlc05_spell_shadow_pit_of_shades
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_miscast_reduction_pit_of_shades_upgraded	miscast_percentage_mod	wh_dlc05_spell_shadow_pit_of_shades_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_reduce_wom_cost_pit_of_shades	cost_mod	wh_dlc05_spell_shadow_pit_of_shades
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_reduce_wom_cost_pit_of_shades_upgraded	cost_mod	wh_dlc05_spell_shadow_pit_of_shades_upgraded
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_cooldown_pit_of_shades	recharge_mod	wh_dlc05_spell_shadow_pit_of_shades
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_okkams_mindrazor	enable	wh_dlc05_spell_shadow_okkams_mindrazor
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_okkams_mindrazor_upgraded	enable_overchage	wh_dlc05_spell_shadow_okkams_mindrazor
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_okkams_mindrazor_upgraded	enable	wh_dlc05_spell_shadow_okkams_mindrazor
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_cooldown_okkams_mindrazor	recharge_mod	wh_dlc05_spell_shadow_okkams_mindrazor
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_okkams_mindrazor_upgraded	enable_overchage	wh_dlc05_spell_shadow_okkams_mindrazor
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_enable_okkams_mindrazor_upgraded	enable	wh_dlc05_spell_shadow_okkams_mindrazor
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_miscast_reduction_okkams_mindrazor_upgraded	miscast_percentage_mod	wh_dlc05_spell_shadow_okkams_mindrazor_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_reduce_wom_cost_okkams_mindrazor	cost_mod	wh_dlc05_spell_shadow_okkams_mindrazor
wh2_main_hef_teclis_wh2_main_effect_magic_shadow_reduce_wom_cost_okkams_mindrazor_upgraded	cost_mod	wh_dlc05_spell_shadow_okkams_mindrazor_upgraded
wh2_main_hef_teclis_wh_dlc05_effect_magic_shadow_cooldown_okkams_mindrazor	recharge_mod	wh_dlc05_spell_shadow_okkams_mindrazor
wh2_main_hef_teclis_wh2_main_effect_ability_enable_shield_of_saphery	enable	wh2_main_lore_passive_shield_of_saphery
wh2_main_hef_teclis_wh2_main_effect_magic_high_cooldown_apotheosis	recharge_mod	wh2_main_spell_high_magic_apotheosis
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_apotheosis_upgraded	enable_overchage	wh2_main_spell_high_magic_apotheosis
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_apotheosis_upgraded	enable	wh2_main_spell_high_magic_apotheosis
wh2_main_hef_teclis_wh2_main_effect_magic_high_cooldown_apotheosis	recharge_mod	wh2_main_spell_high_magic_apotheosis
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_apotheosis_upgraded	enable_overchage	wh2_main_spell_high_magic_apotheosis
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_apotheosis_upgraded	enable	wh2_main_spell_high_magic_apotheosis
wh2_main_hef_teclis_wh2_main_effect_magic_high_miscast_reduction_apotheosis_upgraded	miscast_percentage_mod	wh2_main_spell_high_magic_apotheosis_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_high_reduce_wom_cost_apotheosis	cost_mod	wh2_main_spell_high_magic_apotheosis
wh2_main_hef_teclis_wh2_main_effect_magic_high_reduce_wom_cost_apotheosis_upgraded	cost_mod	wh2_main_spell_high_magic_apotheosis_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_hand_of_glory	enable	wh2_main_spell_high_magic_hand_of_glory
wh2_main_hef_teclis_wh2_main_effect_magic_high_cooldown_hand_of_glory	recharge_mod	wh2_main_spell_high_magic_hand_of_glory
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_hand_of_glory_upgraded	enable_overchage	wh2_main_spell_high_magic_hand_of_glory
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_hand_of_glory_upgraded	enable	wh2_main_spell_high_magic_hand_of_glory
wh2_main_hef_teclis_wh2_main_effect_magic_high_cooldown_hand_of_glory	recharge_mod	wh2_main_spell_high_magic_hand_of_glory
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_hand_of_glory_upgraded	enable_overchage	wh2_main_spell_high_magic_hand_of_glory
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_hand_of_glory_upgraded	enable	wh2_main_spell_high_magic_hand_of_glory
wh2_main_hef_teclis_wh2_main_effect_magic_high_miscast_reduction_hand_of_glory_upgraded	miscast_percentage_mod	wh2_main_spell_high_magic_hand_of_glory_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_high_reduce_wom_cost_hand_of_glory	cost_mod	wh2_main_spell_high_magic_hand_of_glory
wh2_main_hef_teclis_wh2_main_effect_magic_high_reduce_wom_cost_hand_of_glory_upgraded	cost_mod	wh2_main_spell_high_magic_hand_of_glory_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_soul_quench	enable	wh2_main_spell_high_magic_soul_quench
wh2_main_hef_teclis_wh2_main_effect_magic_high_cooldown_soul_quench	recharge_mod	wh2_main_spell_high_magic_soul_quench
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_soul_quench_upgraded	enable_overchage	wh2_main_spell_high_magic_soul_quench
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_soul_quench_upgraded	enable	wh2_main_spell_high_magic_soul_quench
wh2_main_hef_teclis_wh2_main_effect_magic_high_cooldown_soul_quench	recharge_mod	wh2_main_spell_high_magic_soul_quench
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_soul_quench_upgraded	enable_overchage	wh2_main_spell_high_magic_soul_quench
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_soul_quench_upgraded	enable	wh2_main_spell_high_magic_soul_quench
wh2_main_hef_teclis_wh2_main_effect_magic_high_miscast_reduction_soul_quench_upgraded	miscast_percentage_mod	wh2_main_spell_high_magic_soul_quench_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_high_reduce_wom_cost_soul_quench	cost_mod	wh2_main_spell_high_magic_soul_quench
wh2_main_hef_teclis_wh2_main_effect_magic_high_reduce_wom_cost_soul_quench_upgraded	cost_mod	wh2_main_spell_high_magic_soul_quench_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_tempest	enable	wh2_main_spell_high_magic_tempest
wh2_main_hef_teclis_wh2_main_effect_magic_high_cooldown_tempest	recharge_mod	wh2_main_spell_high_magic_tempest
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_tempest_upgraded	enable_overchage	wh2_main_spell_high_magic_tempest
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_tempest_upgraded	enable	wh2_main_spell_high_magic_tempest
wh2_main_hef_teclis_wh2_main_effect_magic_high_cooldown_tempest	recharge_mod	wh2_main_spell_high_magic_tempest
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_tempest_upgraded	enable_overchage	wh2_main_spell_high_magic_tempest
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_tempest_upgraded	enable	wh2_main_spell_high_magic_tempest
wh2_main_hef_teclis_wh2_main_effect_magic_high_miscast_reduction_tempest_upgraded	miscast_percentage_mod	wh2_main_spell_high_magic_tempest_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_high_reduce_wom_cost_tempest	cost_mod	wh2_main_spell_high_magic_tempest
wh2_main_hef_teclis_wh2_main_effect_magic_high_reduce_wom_cost_tempest_upgraded	cost_mod	wh2_main_spell_high_magic_tempest_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_arcane_unforging	enable	wh2_main_spell_high_magic_arcane_unforging
wh2_main_hef_teclis_wh2_main_effect_magic_high_cooldown_arcane_unforging	recharge_mod	wh2_main_spell_high_magic_arcane_unforging
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_arcane_unforging_upgraded	enable_overchage	wh2_main_spell_high_magic_arcane_unforging
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_arcane_unforging_upgraded	enable	wh2_main_spell_high_magic_arcane_unforging
wh2_main_hef_teclis_wh2_main_effect_magic_high_cooldown_arcane_unforging	recharge_mod	wh2_main_spell_high_magic_arcane_unforging
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_arcane_unforging_upgraded	enable_overchage	wh2_main_spell_high_magic_arcane_unforging
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_arcane_unforging_upgraded	enable	wh2_main_spell_high_magic_arcane_unforging
wh2_main_hef_teclis_wh2_main_effect_magic_high_miscast_reduction_arcane_unforging_upgraded	miscast_percentage_mod	wh2_main_spell_high_magic_arcane_unforging_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_high_reduce_wom_cost_arcane_unforging	cost_mod	wh2_main_spell_high_magic_arcane_unforging
wh2_main_hef_teclis_wh2_main_effect_magic_high_reduce_wom_cost_arcane_unforging_upgraded	cost_mod	wh2_main_spell_high_magic_arcane_unforging_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_fiery_convocation	enable	wh2_main_spell_high_magic_fiery_convocation
wh2_main_hef_teclis_wh2_main_effect_magic_high_cooldown_fiery_convocation	recharge_mod	wh2_main_spell_high_magic_fiery_convocation
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_fiery_convocation_upgraded	enable_overchage	wh2_main_spell_high_magic_fiery_convocation
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_fiery_convocation_upgraded	enable	wh2_main_spell_high_magic_fiery_convocation
wh2_main_hef_teclis_wh2_main_effect_magic_high_cooldown_fiery_convocation	recharge_mod	wh2_main_spell_high_magic_fiery_convocation
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_fiery_convocation_upgraded	enable_overchage	wh2_main_spell_high_magic_fiery_convocation
wh2_main_hef_teclis_wh2_main_effect_magic_high_enable_fiery_convocation_upgraded	enable	wh2_main_spell_high_magic_fiery_convocation
wh2_main_hef_teclis_wh2_main_effect_magic_high_miscast_reduction_fiery_convocation_upgraded	miscast_percentage_mod	wh2_main_spell_high_magic_fiery_convocation_upgraded
wh2_main_hef_teclis_wh2_main_effect_magic_high_reduce_wom_cost_fiery_convocation	cost_mod	wh2_main_spell_high_magic_fiery_convocation
wh2_main_hef_teclis_wh2_main_effect_magic_high_reduce_wom_cost_fiery_convocation_upgraded	cost_mod	wh2_main_spell_high_magic_fiery_convocation_upgraded
wh2_dlc11_cst_noctilus_wh_main_effect_ability_enable_curse_of_undeath	enable	wh_main_lore_passive_the_curse_of_undeath
wh2_dlc11_cst_noctilus_wh2_main_effect_magic_vampires_enable_invocation_of_nehek_upgraded	enable_overchage	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_cst_noctilus_wh2_main_effect_magic_vampires_enable_invocation_of_nehek_upgraded	enable	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_cst_noctilus_wh_main_effect_magic_vampires_cooldown_invocation_of_nehek	recharge_mod	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_cst_noctilus_wh2_main_effect_magic_vampires_enable_invocation_of_nehek_upgraded	enable_overchage	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_cst_noctilus_wh2_main_effect_magic_vampires_enable_invocation_of_nehek_upgraded	enable	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_cst_noctilus_wh2_main_effect_magic_vampires_miscast_reduction_invocation_of_nehek_upgraded	miscast_percentage_mod	wh_main_spell_vampires_invocation_of_nehek_upgraded
wh2_dlc11_cst_noctilus_wh2_main_effect_magic_vampires_reduce_wom_cost_invocation_of_nehek	cost_mod	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_cst_noctilus_wh2_main_effect_magic_vampires_reduce_wom_cost_invocation_of_nehek_upgraded	cost_mod	wh_main_spell_vampires_invocation_of_nehek_upgraded
wh2_dlc11_cst_noctilus_wh_main_effect_magic_vampires_cooldown_invocation_of_nehek	recharge_mod	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_cst_noctilus_wh_main_effect_magic_vampires_enable_vanhels_danse_macabre	enable	wh_main_spell_vampires_vanhels_danse_macabre
wh2_dlc11_cst_noctilus_wh2_main_effect_magic_vampires_enable_vanhels_danse_macabre_upgraded	enable_overchage	wh_main_spell_vampires_vanhels_danse_macabre
wh2_dlc11_cst_noctilus_wh2_main_effect_magic_vampires_enable_vanhels_danse_macabre_upgraded	enable	wh_main_spell_vampires_vanhels_danse_macabre
